Package_Name,Obfuscation_method,Path Obfuscated Code,Path Deobfuscated Code,Obfuscation Tool,Deobfuscation Tool,Obfuscated Code Detected,Deobfuscated Code Detected,Notes
alprazolamdiv,String Array ,/package/obfuscated/src/client/actions/UserGet(string_array).js,/package/deobfuscated/src/client/actions/UserGet(string_array)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
alprazolamdiv,String Array Rotate,/package/obfuscated/src/client/actions/UserGet(sa_rotate).js,/package/deobfuscated/src/client/actions/UserGet(sa_rotate)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
alprazolamdiv,String Array  Index Shift,/package/obfuscated/src/client/actions/UserGet(sa_index_shift).js,/package/deobfuscated/src/client/actions/UserGet(sa_index_shift)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
alprazolamdiv,String Array Calls Transform,/package/obfuscated/src/client/actions/UserGet(sa_calls_trans).js,/package/deobfuscated/src/client/actions/UserGet(sa_calls_trans)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
unknown,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,Split Strings Chunk Length set on 2
